sentence,classification
"Good morning and welcome to the standing committee's meeting for Wednesday, April 23- 2025.",x
All council meetings will be live streamed on the city's website and for guest speakers joining us at the table.,x
please do not turn off your microphones.,x
Our first order of business is roll call.,x
Will the clerk please take the roll?,x
Mr Charlton Here.,x
"Mr Coghill, Ms Gross Here.",x
"Mr LaValle Here, Mr Mosley, Ms Kelsmith, Ms Warwick, Mr Wilson Here.",x
Ms Strasburger Chair Here.,x
"Five members present, Thank you.",x
Our next order of business is public comment.,x
"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council, and profanity will not be permitted.",x
Please state your name and neighborhood for the record.,x
"You will have three minutes to speak And we do not have any registered speakers, so anyone who would like to speak can approach the podium and you will have three minutes.",x
"Mr Coghill, Good morning.",x
My name is Yvonne F Brown.,x
I live at 715 Mercer Street.,x
That's the high rise at the top of Bedford.,x
"Now on April the 22nd, on KDKA, I heard Cory O'Connor having an interview.",x
Now some of the things that he said and I took it from this.,x
he said that he said that he was going to be a member of the KDKA.,x
and he said that he was going to be a member of the KDKA.,x
"He tried to make an appointment with the mayor but the mayor has a nonprofit organization, family something and he could never get an appointment.",x
"Well, the same way with me.",x
"I live up in the KDKA and when the mayor came up to the building and brought a proclamation and a plaque for Salah Uddin's previous council meeting, the councilman's brother, who had just moved into the city, came from California.",x
"He had came in and he gave him a proclamation and a plaque for cleaning up in front of August Wilson's house, which is up on Bedford.",x
When that happened I was really upset.,x
"I'm saying, how did he even know about August?",x
how did he even know about Salah Uddin's brother?,x
That's one of his cronies?,x
"So I went to the mayor and I said, Mayor, I don't want to foreshow or bring light on you without me explaining what it's about.",x
I want to know how you knew about Salah Uddin's brother.,x
He got very offensive.,x
"He said: well, you got a problem with it?",x
"And I said, yes, I do, Because August Wilson told me to keep coming down and telling my story, otherwise it's history, your history.",x
"Okay, This mayor, I don't appreciate him and I don't think that he is mere material.",x
And I was saying something to the community.,x
"I'm saying: did you see how much did the mayor only got like 20,000 or 30,000 in his campaign.",x
"But Cory O'Connor got 300,000.",x
"And I'm saying, but he's Irish.",x
"And then I remember, oh, his mother was Jewish.",x
"So, citizen The Jewish, have that, The Jewish have that O'Connor.",x
O'Connor probably will be the mayor.,x
"Now, one thing I do must say about O'Connor: you gotta give credit where credit's due.",x
He had much respect for us citizens in this place.,x
He would be there at 10 o'clock sitting and waiting.,x
"He would speak to me, even though his father didn't and my councilmen don't, And he would say: Ms Brown, how are you today?",x
"And I looked at him and I said: you know what, Cory, if your father knew that you were, if you treated me the way you are, I said he would turn over in his grave Because O'Connor did not like me and I did not care for him because he was not that good of a president.",x
"Thank you, and just have a nice day.",x
"Thank you, Ms Brown.",x
"Next speaker, please?",x
"Hi, my name is Herbert Flaherty Jr.",x
I've been living in this.,x
"actually, I'm just a city resident.",x
I'm homeless.,x
right now I'm in and out of jail.,x
"a lot- institutions, programs- I notice a lot of things in this city, in the jail and in all the programs and things the city has to offer- which it ain't much, You know- I notice a lot like they'll push you to jail or to this program or to this program, to this program to keep putting a Band-Aid on a problem.",x
I'm 36 years old.,x
I was born in 89.,x
I grew up in a city that was a little bit more of a place where you could go to church And the city always wasn't the greatest growing up.,x
You know what I mean.,x
It was a rough city.,x
"Most people didn't have an education And we grew up living the streets And as I got older and I started to go to church, I found God.",x
"I started going to jail And I started looking like there's no real reform, There's no real education And I started going to the renewal center or the ACJ or all these programs And they don't teach anybody anything.",x
"It would be cost efficient and cheaper to teach criminals or people that are uneducated, a trade just in anything.",x
"You know what I mean In chemical, engineering and carpentry and skills like that, A place where you could go.",x
"instead of being housed at 952nd Avenue or 339 Boulevard of the Allies, they could have a place like that.",x
It was a place where you could go.,x
"They could have a place like that where they offer people an educational program the whole time they're there, Like a DOC program with college tutors and stuff there.",x
"You know what I mean: To teach people a proper education, because the city has an entire asset of a workforce.",x
You know what I mean.,x
There's got to be at least I know maybe a million people without a job that are able to work- You know what I mean- That are able to learn something and get an education And they're probably willing to be taught if they could be housed in a place like a Job Corps.,x
"You know, most people don't see the light until they're 25 And it's too late to go to Job Corps.",x
"It's too late to do this, It's too late to that And they get institutionalized and they just keep going back to jail, rehab, the streets, renewal center, wherever.",x
"And if the city, I want to draw up a proposal for a lot of things And if the city could give the youth, or even the youth, even people that are older, an education- you know what I mean- And house them properly and give them a chance to learn and succeed and thrive.",x
Maybe a new building or a college campus to teach adults how to be productive members of society.,x
You know what I mean.,x
"I think that would be more cost efficient than sending them to rehabs, jails or being homeless or all over the city time and time after time.",x
"Thank you, Thank you very much.",x
"Thank you, Thank you very much.",x
"Next speaker, please, Good morning.",x
Special Agent Sunshine.,x
"Thank you, Lord, for bringing me here.",x
"I return to sender any voodoo, hexes, curses, anybody tries to send to me Death magic y'all been doing every day, daily.",x
"I return it to sender 100 million, billion, trillion, Googleplex And whoever's sending it.",x
"Lord, throw them into a lake of fire.",x
"In Jesus' name, I pray amen.",x
"Dear God, thank you for equipping me to represent you in this world.",x
Please give me the strength and wisdom to reflect you well so that others are drawn to you.,x
That's a lot he has me doing out here y'all.,x
"I'm literally going different places along with coming here to find out where the money is going and why there's so many homeless people out here on the street And the assessment that I've come to a conclusion and made over an almost two-year period is this: Grant funds from the 2023 National Sexual Assault Kid Initiative Grant in the amount not to exceed 37,000 to support overtime for PPP detectives For the investigation of old sexual assault cases.",x
"Really, How old are they?",x
That's the million dollar question.,x
"How old are these sexual assault cases that you need 37,000 for Because it's too many people out on the street?",x
I'm not playing with y'all.,x
"We're going to assess where this money is going And when we do, God is the one that's going to take action And he's going to force y'all to help these people on the street.",x
Don't believe it?,x
"Just watch An increase from the 2025 capital budget: 63,333.",x
30 to account for additional Federal Highway Administration funding being received by the City of Pittsburgh.,x
"Really, That's the increase.",x
It's the increase part that's getting my attention and I hope is getting the attention of everybody else: These increases.,x
what you guys are doing is you're going on vacation with these increases of money And it's just not going to happen.,x
I'm so sorry That's coming to an end.,x
Proverbs 21.,x
13 says Those who shut their ears to the cries of the poor will be ignored in their own time of need.,x
"And I promise you y'all, get ready to come out here with us and see what it's really like The be all, the be all The be out on the street.",x
You're not going to like it.,x
"I promise you you're not, And you're not going to have the grace to handle it when you lose everything and have to come out here with us.",x
It's not going to be pretty.,x
"An eager anticipation of the Lord's return keeps us living productively In Jesus' name, amen, Thank you, Thank you.",x
Are there any further speakers?,x
"No, Any further speakers.",x
Seeing none.,x
we will now move on to our standing committee's agenda.,x
Our first committee is the Finance and Law Committee.,x
We have a few deferred papers: Bill 1667.,x
Bill 1667 Resolution.,x
I'm sorry.,x
"I'm sorry, Madam Clerk.",x
I've had a request to read some of the bills together and I just want to have that in front of me.,x
"If we can read Bill 1667, Bill 1667 and 1691 together, Thank you.",x
"Bill 1667: Resolution authorizing the issuance of a warrant in favor of Muhammad Bernie for tuition reimbursement for an amount not to exceed 33,292 over one year.",x
And.,x
"Bill 1691 Resolution transferring the amount of 33,292 within the 2025 operating budget from city council districts salaries and wages to the city council district.",x
The bill is now in effect.,x
The bill is now in effect.,x
The bill is now in effect.,x
The bill is now in effect.,x
The bill is now in effect.,x
The bill is now in effect.,x
The bill is now in effect.,x
The bill is now in effect.,x
The bill is now in effect.,x
Resolution of a warrant for the purpose of tuition reimbursement to city council districts' salaries and wages regular to city council districts' employee benefits for the purpose of tuition reimbursement.,x
"A motion to hold six weeks A second, A second Discussion.",x
"Seeing none all those in favor of a six-week hold, please indicate by saying aye, Aye, Aye, Aye, Aye.",x
Bill will be.,x
bills will be held for six weeks.,x
"Bill 1675: Bill 1675 Resolution providing for the sale of certain property in the 23rd ward, First Council district.",x
bill will be.,x
bills will be held for six weeks.,x
"bill 1675 resolution providing for the sale of certain property in the 23rd ward, first council district, city of pittsburgh, acquired by the city of pittsburgh at tax sale.",x
we should hold one week second discussion.,x
seeing none.,x
"all those in favor of a one-week hold, please indicate by saying aye, aye.",x
bill will be held for one week.,x
new papers- bill 1728.,x
"bill 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with fragelman, delray, barnson and lowey lp in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters.",x
is there a motion?,x
motion to approve.,x
is there a second second discussion?,x
"seeing none, all those in favor of bill 1728 please indicate by saying aye, aye, affirmative recommendation.",x
"bill 1736 ordinance amending the pittsburgh code, title six, conduct.",x
"article one, regulated rights and actions, chapter six, two, six.",x
"paid sick days act, section six, two, six oh three: accrual of sick time so as to change the rate at which employees can accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated.",x
motion to approve.,x
second discussion is: would anyone like to defer to the bill?,x
sponsor?,x
i would.,x
"pathways, academic areas, financial aid programs.",x
"ambassador, i would like to call on those honored members today to the former manager of university accounting for the cost of schools, Tony R, a 17 resort project, as mentioned earlier, and will pursue by the comprehensiveettenção.",x
they are cr jaws taxing the houses only earned by certain.,x
"I'm happy to move along and come back to this bill at the end of the meeting or when he's available to handle this, But I'm happy to take discussion in the meantime.",x
"Yep, Madam Chair, I just wanted to tell you I spoke to our president yesterday on this and, yeah, he informed me and I wished also that we were gonna hold this for a public hearing.",x
"But if we have to go back to it, that's whatever you decide.",x
"Sure, any further discussion on the bill in the meantime?",x
"Okay, we will resume discussion and take a final vote on the next steps on this bill when the council president is able to join us again.",x
"Okay, that moves us on to invoices.",x
Is there a motion on invoices?,x
So moved?,x
Is there a second?,x
"Oh, second, yeah.",x
Discussion Seeing none.,x
"All those in favor of invoices, please indicate by saying aye, Aye, Invoices are approved.",x
That moves us on to P cards.,x
Is there a motion on P cards?,x
Motion to approve?,x
Second Discussion: Seeing none.,x
"All those in favor of P cards, please indicate by saying aye, Aye, Aye, P cards are approved.",x
"That moves us to Public Works and Infrastructure Committee, chaired by Councilperson Warwick.",x
Bill 7.,x
"0, Airline 8 of 9 2017.",x
"8, 17, Thirteen Deferred Paper resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an agreement and or amendments, with the University of Pittsburgh for the purpose of providing supplemental waste operations in the Oakland neighborhood at no cost to the city.",x
"I have an amendment, So motion to amend.",x
Second Discussion: The amendment 19.,x
17.,x
I think.,x
"so, yeah, motion to approve.",x
be free.,x
motion to amend.,x
"oh, apologies.",x
motion to approve second and then motion to amend.,x
"to amend: we have a second, second, second discussion on the proposed amendment i.",x
"i, if the director and supervisor here, i'd like to call them up, thank you.",x
"thank you, chris hornstein, director of public works.",x
"sean weigel, superintendent environmental services.",x
thank you guys for being here.,x
can we talk a little bit about what we're looking at here?,x
"yeah, absolutely so.",x
this is to help fund a supplemental collection in oakland.,x
so we've been working with the university of pittsburgh and they have agreed to a maximum of 15 additional collections in oakland to support the cleanliness of the neighborhood.,x
so we've been working with the university to pick up additional trash.,x
this was work that the university was trying to do themselves but it created a lot of confusion.,x
it wasn't necessarily effective as we would have liked.,x
so they have agreed to fund this on a per collection event basis to cover the city's costs to do additional pickup in the neighborhood.,x
"okay, do we know when those 15 supplemental pickups will be, or is it just as needed as needed?",x
"truly, we see the biggest amount of trash when the students move back in in the fall, sure?",x
"so trying to get everything in place, perhaps with tolerate- you, you know, doesn't sound like a lot like nation.",x
"all right, good, because no one's making it rightin.",x
yes and no question.,x
thank you for that.,x
or is there something?,x
"the one thing the Mayors are isaders or that the students must know is that they really want to be from the visitors side because certain of the behavior is allowed to take breakfast, what like trend you've talked about?",x
"during the event, I wanted to keep my miles or chill for a long five steps.",x
we don't want it in the context.,x
"perhaps we will do one shortly when we have the smaller amount, but definitely to be ready to go for when the kids move back in.",x
"Cool, Are we doing anything?",x
"I know that there have been efforts to get dumpsters placed on the street during move-in, when the- you know August 1st, when that move-in happens, that we've looked in the past of just staging dumpsters all throughout.",x
Have we considered that again?,x
or is that My understanding?,x
there was too much abuse with that program that the intended purpose of it was not happening.,x
Folks were coming in and filling the dumpsters before the residents could even use them.,x
We've tried some different options since then and this is where we're at now.,x
"Okay, Well, I'm really glad to see this happen.",x
"I think this is, you know, really something that we need to see more of, You know.",x
"I also know that the university is paying, you know, a good bit for this.",x
This is not a small expense for the university.,x
"You know, when they were going to do this with a private contractor, it was a lot cheaper.",x
"So I'm glad to see that they're willing to pony up and do this, you know, an extra 15 times, And I'm hoping that we see a lot of success out of this and, looking forward to it, To a cleaner Oakland.",x
"So, Thank you, Awesome Thanks guys.",x
"Councilwoman Kale-Smith, I just real briefly.",x
"I just wanted to mention that I actually was- I apologize, it was late.",x
"I was actually meeting with Kevin Quigley about red up stuff and trying to understand a little bit about what they did differently, And one of the things we talked about is maybe putting some of the trash collections instead of the alleys in Sheridan.",x
"You see that they're- I mean they're- constantly overflowed with trash, Is maybe just moving the trash to the front again of the homes.",x
So I didn't know if that was something we could look into.,x
"I don't know, I don't know if that's something we can look into and see.",x
"do some kind of, you know, observation or pilot program to see if it works better, that there'd be less trash on those streets.",x
But Sheridan does their own you know trash program that they have and they do an amazing job.,x
but they shouldn't have to.,x
They really shouldn't have to.,x
But one of the things I keep getting requests for repeatedly is additional trash cans on Grandview Avenue.,x
And is that your decision or whose decision would that be?,x
"You know we, we have a protocol in place to evaluate those.",x
"that involves, you know, 500.",x
nothing like those falls off the streets are something that they can always help them.,x
"but also If, if there are too many problems, when there's an æ STOP disappeared, theène şuShift tests in the community, and that's not going to get any Dracula, so it's not going to get healedlers required.",x
So some concernscych.,x
I see some concerns.,x
"you know, Mr Olsen, Is there any rules to start iavel sowie funein tree ding ohi?",x
"No, i thank you for working on that with the police.",x
"i'm glad that something's you know happening, at least you're aware of it, and and i'm hoping that it's resolved soon.",x
"but i just in general, i mean it's- i just feel like we need to like sit back and try to figure out what we could do differently, what did work, what didn't work, and i think that there's a lot that that has worked in the past and i think you're doing a lot of things.",x
"i love the timers or the, you know the, the sensors on the, on the trash cans, i mean if they're working.",x
"but what i see: yesterday they did another cleanup of mcgardle roadway, which were also waiting- waiting for mcgardle roadway to be completed.",x
that's a project domey's working on and i want to thank them for that.,x
but i feel like all projects in my district are held up until the election or until until i'm out of office.,x
"but but it's unfair that the people are paying the price for that and and so they're paying the price with, you know, pools not opening, with playgrounds not getting done with trails, not being done, with trash all over the place, different things that i feel like.",x
"okay, they deserve to at least have some response.",x
we all represent.,x
"we've, you know, every, we represent all the people, and so it just felt like we need to do a little bit better in those areas, regardless of- and every administration has done it i mean- so i mean every administration's had their projects they've held up, removed.",x
"but what i'm going to say is that for me, i would like to see more of an effort in terms of this, this area getting more attention.",x
but i mean that stadium street over in sheridan.,x
"you know it's it's a lot of work, but i think it's a lot of work.",x
but i think it's a lot of work.,x
"but i and the things that are happening over there and the illegal dumping- and i do want to thank you because you, you and domie, have been very responsive, i mean truthfully.",x
but it shouldn't get to that point and it's my understanding it's.,x
"you know somebody who works for the city, it's their relative that's doing the dumping and people know who it is and they just keep it just keeps happening.",x
so i just want to make sure that you're working on those issues that are quality of life issues for all of pittsburgh.,x
i understand the importance of oakland.,x
i was born and raised there.,x
i mean still have a gazillion friends there and family.,x
"so i understand and appreciate and i want them to have that attention, but i also want to make sure that we're not forgetting about the other neighborhoods, thank you.",x
"thank you, councilman coghill.",x
"thank you, madam chair.",x
"morning chris, hey sean, how are you good?",x
"getting back to the oakland thing real quick, just out of curiosity.",x
so what was happening was the university was taking it upon themselves to pick up trash from students.,x
is that right?,x
or a ballpark trash or something like that.,x
"and then then then we decided to say, hey, wait, that confusion was going on or whatnot, and we decided we should do it and they just pay us.",x
is that summing up?,x
that's it.,x
last year they started working with a vendor.,x
they already had to do something.,x
"i consider hiring somebody private to pick up, but it was again, yeah, uniformly just doesn't fit into and it wasn't nearly as effective as we believe our program would be.",x
"yeah, you know, we were still on the street and mayor receive information and others who visited us say those places were cleaning Delhi and area not.",x
there had been the same issues on the street that anybody in the public right away would encounter.,x
"you know, large piles of recycling and waste during moving periods, blocking sidewalks, that sort of thing.",x
"you know, it just wasn't being as effective as i think we all would have hoped.",x
"do you know if, if they are paying us as much as they were paying the private vendor, or how did?",x
i'm not previous.,x
"yes, i'm not perfect to the amounts that they were paying.",x
"yes, i'm not perfect to the system.",x
"i'd need to, i thinkcel the private vendor.",x
"yeah, right, but councilmanny carlin said: you know pretty much the same way and hopefully others have to change that idea and you know, have some connectivity issues, that sort of thing, which we do all have a perfect group of folks we'd stop meeting and i'll tell you what you call.",x
one or one in the high school know pretty much it's worth our while.,x
"whatever they're paying us, it's not, they're paying for our labor.",x
"i guess, how do you calculate what they pay?",x
just like we do in wilkinsburg.,x
do we pick up wilkinsburg?,x
"yeah, yes, yeah.",x
"so again, this is the cover, the city's cost, cover, the cost that we would already be doing if we weren't part.",x
