sentence,classification,prev2,prev1,next1,next2
"Good morning and welcome to the standing committee meeting for Wednesday, April 2nd 2025.",b,,,Would the clerk please take the roll.,Mr Sharland Here.
Would the clerk please take the roll.,i,,"Good morning and welcome to the standing committee meeting for Wednesday, April 2nd 2025.",Mr Sharland Here.,"Mr Coghill Ms Gross, Mr Mosley Here."
Mr Sharland Here.,i,"Good morning and welcome to the standing committee meeting for Wednesday, April 2nd 2025.",Would the clerk please take the roll.,"Mr Coghill Ms Gross, Mr Mosley Here.",Mrs Killsmith Mrs Warwick Here.
"Mr Coghill Ms Gross, Mr Mosley Here.",i,Would the clerk please take the roll.,Mr Sharland Here.,Mrs Killsmith Mrs Warwick Here.,Mr Wilson Mrs Strasberger Here.
Mrs Killsmith Mrs Warwick Here.,i,Mr Sharland Here.,"Mr Coghill Ms Gross, Mr Mosley Here.",Mr Wilson Mrs Strasberger Here.,Mr Lavelle Chair Here.
Mr Wilson Mrs Strasberger Here.,i,"Mr Coghill Ms Gross, Mr Mosley Here.",Mrs Killsmith Mrs Warwick Here.,Mr Lavelle Chair Here.,"Five members present, Thank you."
Mr Lavelle Chair Here.,p,Mrs Killsmith Mrs Warwick Here.,Mr Wilson Mrs Strasberger Here.,"Five members present, Thank you.",Our next order of business is public comment.
"Five members present, Thank you.",p,Mr Wilson Mrs Strasberger Here.,Mr Lavelle Chair Here.,Our next order of business is public comment.,"I would like to remind all speakers of the rules of council of state that comments are limited to matters of concern, official action or liberation which may be for city council."
Our next order of business is public comment.,p,Mr Lavelle Chair Here.,"Five members present, Thank you.","I would like to remind all speakers of the rules of council of state that comments are limited to matters of concern, official action or liberation which may be for city council.",Profanity will not be permitted.
"I would like to remind all speakers of the rules of council of state that comments are limited to matters of concern, official action or liberation which may be for city council.",p,"Five members present, Thank you.",Our next order of business is public comment.,Profanity will not be permitted.,"After you are called, please restate your name."
Profanity will not be permitted.,p,Our next order of business is public comment.,"I would like to remind all speakers of the rules of council of state that comments are limited to matters of concern, official action or liberation which may be for city council.","After you are called, please restate your name.",Provide your neighborhood for the record.
"After you are called, please restate your name.",p,"I would like to remind all speakers of the rules of council of state that comments are limited to matters of concern, official action or liberation which may be for city council.",Profanity will not be permitted.,Provide your neighborhood for the record.,"We have one registered speaker, Ms Bernadette Mosley."
Provide your neighborhood for the record.,p,Profanity will not be permitted.,"After you are called, please restate your name.","We have one registered speaker, Ms Bernadette Mosley.",We cannot hear you at the moment.
"We have one registered speaker, Ms Bernadette Mosley.",p,"After you are called, please restate your name.",Provide your neighborhood for the record.,We cannot hear you at the moment.,We cannot hear you at the moment.
We cannot hear you at the moment.,i,Provide your neighborhood for the record.,"We have one registered speaker, Ms Bernadette Mosley.",We cannot hear you at the moment.,"We have one registered speaker, Ms Bernadette Mosley."
We cannot hear you at the moment.,p,"We have one registered speaker, Ms Bernadette Mosley.",We cannot hear you at the moment.,"We have one registered speaker, Ms Bernadette Mosley.",We cannot hear you at the moment.
"We have one registered speaker, Ms Bernadette Mosley.",p,We cannot hear you at the moment.,We cannot hear you at the moment.,We cannot hear you at the moment.,So why don't we go to those in chambers?
We cannot hear you at the moment.,i,We cannot hear you at the moment.,"We have one registered speaker, Ms Bernadette Mosley.",So why don't we go to those in chambers?,and we'll come back to Ms Mosley to try to fix whatever problems may be existing.
So why don't we go to those in chambers?,p,"We have one registered speaker, Ms Bernadette Mosley.",We cannot hear you at the moment.,and we'll come back to Ms Mosley to try to fix whatever problems may be existing.,"So if there's anyone in chambers wishing to speak, please come forward at this time."
and we'll come back to Ms Mosley to try to fix whatever problems may be existing.,i,We cannot hear you at the moment.,So why don't we go to those in chambers?,"So if there's anyone in chambers wishing to speak, please come forward at this time.",Provide your neighborhood for the record.
"So if there's anyone in chambers wishing to speak, please come forward at this time.",p,So why don't we go to those in chambers?,and we'll come back to Ms Mosley to try to fix whatever problems may be existing.,Provide your neighborhood for the record.,You'll also be given three minutes to speak.
Provide your neighborhood for the record.,p,and we'll come back to Ms Mosley to try to fix whatever problems may be existing.,"So if there's anyone in chambers wishing to speak, please come forward at this time.",You'll also be given three minutes to speak.,My name is Yvonne F Brown.
You'll also be given three minutes to speak.,p,"So if there's anyone in chambers wishing to speak, please come forward at this time.",Provide your neighborhood for the record.,My name is Yvonne F Brown.,"I live at 715 Mercer Street, that's at the top of Befford Avenue in the high-rise with 192 apartments."
My name is Yvonne F Brown.,p,Provide your neighborhood for the record.,You'll also be given three minutes to speak.,"I live at 715 Mercer Street, that's at the top of Befford Avenue in the high-rise with 192 apartments.",I come today with a very glad heart and very happy to be here to be able to tell you what I'm getting ready to explain today.
"I live at 715 Mercer Street, that's at the top of Befford Avenue in the high-rise with 192 apartments.",p,You'll also be given three minutes to speak.,My name is Yvonne F Brown.,I come today with a very glad heart and very happy to be here to be able to tell you what I'm getting ready to explain today.,And then one last thing.
I come today with a very glad heart and very happy to be here to be able to tell you what I'm getting ready to explain today.,p,My name is Yvonne F Brown.,"I live at 715 Mercer Street, that's at the top of Befford Avenue in the high-rise with 192 apartments.",And then one last thing.,"Okay, Wenn, we have comments that we need."
And then one last thing.,p,"I live at 715 Mercer Street, that's at the top of Befford Avenue in the high-rise with 192 apartments.",I come today with a very glad heart and very happy to be here to be able to tell you what I'm getting ready to explain today.,"Okay, Wenn, we have comments that we need.","we would like to welcome the next Ludha from the to say: I want to say to the Delta fail, Delta Sigma self, I can't pronounce it."
