sentence,classification,prev2,prev1,next1,next2
"Good morning and welcome to the standing committee's meeting for Wednesday, April 23- 2025.",b,,,All council meetings will be live streamed on the city's website and for guest speakers joining us at the table.,please do not turn off your microphones.
All council meetings will be live streamed on the city's website and for guest speakers joining us at the table.,b,,"Good morning and welcome to the standing committee's meeting for Wednesday, April 23- 2025.",please do not turn off your microphones.,Our first order of business is roll call.
please do not turn off your microphones.,i,"Good morning and welcome to the standing committee's meeting for Wednesday, April 23- 2025.",All council meetings will be live streamed on the city's website and for guest speakers joining us at the table.,Our first order of business is roll call.,Will the clerk please take the roll?
Our first order of business is roll call.,b,All council meetings will be live streamed on the city's website and for guest speakers joining us at the table.,please do not turn off your microphones.,Will the clerk please take the roll?,Mr Charlton Here.
Will the clerk please take the roll?,i,please do not turn off your microphones.,Our first order of business is roll call.,Mr Charlton Here.,"Mr Coghill, Ms Gross Here."
Mr Charlton Here.,i,Our first order of business is roll call.,Will the clerk please take the roll?,"Mr Coghill, Ms Gross Here.","Mr LaValle Here, Mr Mosley, Ms Kelsmith, Ms Warwick, Mr Wilson Here."
"Mr Coghill, Ms Gross Here.",i,Will the clerk please take the roll?,Mr Charlton Here.,"Mr LaValle Here, Mr Mosley, Ms Kelsmith, Ms Warwick, Mr Wilson Here.",Ms Strasburger Chair Here.
"Mr LaValle Here, Mr Mosley, Ms Kelsmith, Ms Warwick, Mr Wilson Here.",i,Mr Charlton Here.,"Mr Coghill, Ms Gross Here.",Ms Strasburger Chair Here.,"Five members present, Thank you."
Ms Strasburger Chair Here.,b,"Mr Coghill, Ms Gross Here.","Mr LaValle Here, Mr Mosley, Ms Kelsmith, Ms Warwick, Mr Wilson Here.","Five members present, Thank you.",Our next order of business is public comment.
"Five members present, Thank you.",i,"Mr LaValle Here, Mr Mosley, Ms Kelsmith, Ms Warwick, Mr Wilson Here.",Ms Strasburger Chair Here.,Our next order of business is public comment.,"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council, and profanity will not be permitted."
Our next order of business is public comment.,p,Ms Strasburger Chair Here.,"Five members present, Thank you.","I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council, and profanity will not be permitted.",Please state your name and neighborhood for the record.
"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council, and profanity will not be permitted.",p,"Five members present, Thank you.",Our next order of business is public comment.,Please state your name and neighborhood for the record.,"You will have three minutes to speak And we do not have any registered speakers, so anyone who would like to speak can approach the podium and you will have three minutes."
Please state your name and neighborhood for the record.,p,Our next order of business is public comment.,"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council, and profanity will not be permitted.","You will have three minutes to speak And we do not have any registered speakers, so anyone who would like to speak can approach the podium and you will have three minutes.","Mr Coghill, Good morning."
"You will have three minutes to speak And we do not have any registered speakers, so anyone who would like to speak can approach the podium and you will have three minutes.",p,"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council, and profanity will not be permitted.",Please state your name and neighborhood for the record.,"Mr Coghill, Good morning.",My name is Yvonne F Brown.
"Mr Coghill, Good morning.",p,Please state your name and neighborhood for the record.,"You will have three minutes to speak And we do not have any registered speakers, so anyone who would like to speak can approach the podium and you will have three minutes.",My name is Yvonne F Brown.,I live at 715 Mercer Street.
My name is Yvonne F Brown.,p,"You will have three minutes to speak And we do not have any registered speakers, so anyone who would like to speak can approach the podium and you will have three minutes.","Mr Coghill, Good morning.",I live at 715 Mercer Street.,That's the high rise at the top of Bedford.
I live at 715 Mercer Street.,i,"Mr Coghill, Good morning.",My name is Yvonne F Brown.,That's the high rise at the top of Bedford.,"Now on April the 22nd, on KDKA, I heard Cory O'Connor having an interview."
That's the high rise at the top of Bedford.,i,My name is Yvonne F Brown.,I live at 715 Mercer Street.,"Now on April the 22nd, on KDKA, I heard Cory O'Connor having an interview.",Now some of the things that he said and I took it from this.
"Now on April the 22nd, on KDKA, I heard Cory O'Connor having an interview.",b,I live at 715 Mercer Street.,That's the high rise at the top of Bedford.,Now some of the things that he said and I took it from this.,he said that he said that he was going to be a member of the KDKA.
